strain	gene	Orthogroup	class
ECA1761	g14784	OG0013858	core
ECA1761	g14785	OG0003715	core
ECA1761	g14786	OG0013857	core
ECA1761	g14787	OG0013856	core
ECA1761	g14788	OG0013855	core
ECA1761	g15471	OG0008806	core
ECA1761	g15472	OG0008807	core
ECA1761	g15473	OG0016923	accessory
ECA1761	g15474	OG0025231	accessory
ECA1761	g15475	OG0025382	accessory
ECA1761	g15476	OG0000000	core
ECA1761	g15477	OG0025870	accessory
ECA1761	g15478	OG0025772	accessory
ECA1761	g15479	OG0000206	accessory
ECA1761	g15480	OG0020560	accessory
ECA1761	g15481	OG0052347	private
ECA1761	g15482	OG0022566	accessory
ECA1761	g15545	OG0008834	core
ECA1761	g15546	OG0008835	core
ECA1761	g15605	OG0003462	core
ECA1761	g15606	OG0008861	core
ECA1761	g15607	OG0008862	core
ECA1761	g15625	OG0016712	accessory
ECA1761	g15626	OG0003976	core
ECA1761	g15627	OG0003583	core
ECA1761	g15628	OG0003780	core
ECA1761	g15629	OG0023398	accessory
ECA1761	g15630	OG0003169	core
ECA1761	g15631	OG0008871	core
ECA1761	g15632	OG0015901	accessory
ECA1761	g15633	OG0008872	core
ECA1761	g15634	OG0008873	core
ECA1761	g15635	OG0008874	core
ECA1761	g15636	OG0008875	core
ECA1761	g15637	OG0002685	core
ECA1761	g15708	OG0004023	core
ECA1761	g15709	OG0018054	accessory
ECA1761	g15710	OG0002057	core
ECA1761	g15711	OG0024806	accessory
ECA1761	g15712	OG0000924	core
ECA1761	g15713	OG0003797	core
ECA1761	g15719	OG0008921	core
ECA1761	g15757	OG0008941	core
ECA1761	g15758	OG0008942	core
ECA1761	g15886	OG0002694	core
ECA1761	g15887	OG0002695	core
ECA1761	g15888	OG0002696	core
ECA1761	g15889	OG0002697	core
ECA1761	g15890	OG0009002	core
ECA1761	g15905	OG0009010	core
ECA1761	g15906	OG0002698	core
ECA1761	g15907	OG0009011	core
ECA1761	g15908	OG0009012	core
ECA1761	g15909	OG0009013	core
ECA1761	g16340	OG0015011	core
ECA1761	g16341	OG0022872	accessory
ECA1761	g16345	OG0015009	core
ECA1761	g16378	OG0014988	core
ECA1761	g16379	OG0014987	core
ECA1761	g16396	OG0014972	core
ECA1761	g16397	OG0021623	accessory
ECA1761	g16398	OG0036027	accessory
ECA1761	g16399	OG0022280	accessory
ECA1761	g16400	OG0020530	accessory
ECA1761	g16401	OG0024098	accessory
ECA1761	g16402	OG0023985	accessory
ECA1761	g16403	OG0029678	accessory
ECA1761	g16404	OG0021888	accessory
ECA1761	g16459	OG0032345	accessory
ECA1761	g16460	OG0029797	accessory
ECA1761	g16461	OG0029678	accessory
ECA1761	g16462	OG0025806	accessory
ECA1761	g16463	OG0022442	accessory
ECA1761	g16464	OG0023665	accessory
ECA1761	g16465	OG0023864	accessory
ECA1761	g16466	OG0019442	accessory
ECA1761	g16467	OG0029851	accessory
ECA1761	g16468	OG0020500	accessory
ECA1761	g16469	OG0035356	accessory
ECA1761	g16470	OG0020142	accessory
ECA1761	g16471	OG0032249	accessory
ECA1761	g16472	OG0001393	core
ECA1761	g16473	OG0000899	core
ECA1761	g16474	OG0002329	core
ECA1761	g16475	OG0016572	accessory
ECA1761	g16476	OG0000364	core
ECA1761	g16477	OG0020883	accessory
ECA1761	g16478	OG0014971	core
ECA1761	g16479	OG0022200	accessory
ECA1761	g16480	OG0020728	accessory
ECA1761	g16481	OG0014970	core
ECA1761	g16482	OG0000476	core
ECA1761	g16483	OG0038376	accessory
ECA1761	g16484	OG0028093	accessory
ECA1761	g16485	OG0028773	accessory
ECA1761	g16486	OG0014969	core
ECA1761	g16487	OG0001392	core
ECA1761	g16488	OG0002328	core
ECA1761	g16489	OG0003201	core
ECA1761	g16490	OG0003011	core
ECA1761	g16491	OG0025513	accessory
ECA1761	g16492	OG0021293	accessory
ECA1761	g16493	OG0014968	core
ECA1761	g16500	OG0028711	accessory
ECA1761	g16500	OG0028711	accessory
ECA1761	g16501	OG0014964	core
ECA1761	g16502	OG0016571	accessory
ECA1761	g16503	OG0003009	core
ECA1761	g16504	OG0003085	accessory
ECA1761	g16509	OG0021151	accessory
ECA1761	g16510	OG0014961	core
ECA1761	g16562	OG0000563	core
ECA1761	g16563	OG0021211	accessory
ECA1761	g16564	OG0001391	core
ECA1761	g16565	OG0019216	accessory
ECA1761	g16566	OG0019315	accessory
ECA1761	g16567	OG0026927	accessory
ECA1761	g16568	OG0021498	accessory
ECA1761	g16569	OG0024656	accessory
ECA1761	g16570	OG0037873	accessory
ECA1761	g16571	OG0027645	accessory
ECA1761	g16572	OG0019832	accessory
ECA1761	g16573	OG0027031	accessory
ECA1761	g16574	OG0035375	accessory
ECA1761	g16575	OG0016569	accessory
ECA1761	g16576	OG0027687	accessory
ECA1761	g16577	OG0000531	core
ECA1761	g16578	OG0000940	core
ECA1761	g16579	OG0001271	core
ECA1761	g16585	OG0023614	accessory
ECA1761	g16586	OG0016568	accessory
ECA1761	g16587	OG0003008	core
ECA1761	g16598	OG0014950	core
ECA1761	g16622	OG0024714	accessory
ECA1761	g16623	OG0021746	accessory
ECA1761	g16624	OG0025320	accessory
ECA1761	g16625	OG0021243	accessory
ECA1761	g16626	OG0014940	core
ECA1761	g16629	OG0014938	core
ECA1761	g16636	OG0014936	core
ECA1761	g16736	OG0023214	accessory
ECA1761	g16737	OG0016180	accessory
ECA1761	g16738	OG0003750	core
ECA1761	g16739	OG0007682	core
ECA1761	g16752	OG0007677	core
ECA1761	g16753	OG0007676	core
ECA1761	g16759	OG0007672	core
ECA1761	g16760	OG0007671	core
ECA1761	g16792	OG0007654	core
ECA1761	g16793	OG0007653	core
ECA1761	g16803	OG0007645	core
ECA1761	g16804	OG0007644	core
ECA1761	g16805	OG0007643	core
ECA1761	g16806	OG0007642	core
ECA1761	g16807	OG0007641	core
ECA1761	g16808	OG0003541	core
ECA1761	g16809	OG0007640	core
ECA1761	g16810	OG0000498	core
ECA1761	g16811	OG0021290	accessory
ECA1761	g16830	OG0007632	core
ECA1761	g16831	OG0002007	core
ECA1761	g16911	OG0023964	accessory
ECA1761	g16912	OG0024576	accessory
ECA1761	g16913	OG0030708	accessory
ECA1761	g16914	OG0015275	core
ECA1761	g16915	OG0015276	core
ECA1761	g16916	OG0015277	core
ECA1761	g16917	OG0002357	core
ECA1761	g16957	OG0003891	core
ECA1761	g16958	OG0021316	accessory
ECA1761	g16959	OG0022730	accessory
ECA1761	g16965	OG0000664	core
ECA1761	g16966	OG0003705	core
ECA1761	g16967	OG0013229	core
ECA1761	g16968	OG0017211	accessory
ECA1761	g16969	OG0013230	core
ECA1761	g16970	OG0013231	core
ECA1761	g16971	OG0013232	core
ECA1761	g16972	OG0028263	accessory
ECA1761	g16973	OG0002907	core
ECA1761	g16974	OG0013228	core
ECA1761	g17099	OG0013152	core
ECA1761	g17100	OG0013151	core
ECA1761	g17101	OG0013150	core
ECA1761	g17102	OG0013149	core
ECA1761	g17185	OG0000674	accessory
ECA1761	g17186	OG0000793	accessory
ECA1761	g17187	OG0024362	accessory
ECA1761	g17188	OG0029941	accessory
ECA1761	g17189	OG0003056	core
ECA1761	g17190	OG0016599	accessory
ECA1761	g17191	OG0000760	core
ECA1761	g17192	OG0023088	accessory
ECA1761	g17193	OG0029973	accessory
ECA1761	g17194	OG0032263	accessory
ECA1761	g17195	OG0003055	core
ECA1761	g17196	OG0003054	core
ECA1761	g17197	OG0015265	core
ECA1761	g17198	OG0003053	core
ECA1761	g17199	OG0003052	core
ECA1761	g17200	OG0029119	accessory
ECA1761	g17201	OG0003051	core
ECA1761	g17202	OG0003050	core
ECA1761	g17203	OG0016690	accessory
ECA1761	g17204	OG0016598	accessory
ECA1761	g17205	OG0015264	core
ECA1761	g17206	OG0015263	core
ECA1761	g17207	OG0029051	accessory
ECA1761	g17208	OG0015262	core
ECA1761	g17209	OG0015261	core
ECA1761	g17210	OG0001504	core
ECA1761	g17211	OG0003049	core
ECA1761	g17212	OG0003048	core
ECA1761	g17213	OG0015594	accessory
ECA1761	g17214	OG0001503	core
ECA1761	g17215	OG0015260	core
ECA1761	g17216	OG0015259	core
ECA1761	g17217	OG0015258	core
ECA1761	g17218	OG0001680	core
ECA1761	g17219	OG0015257	core
ECA1761	g17220	OG0015960	accessory
ECA1761	g17221	OG0038468	accessory
ECA1761	g17222	OG0031302	accessory
ECA1761	g17223	OG0015256	core
ECA1761	g17224	OG0028347	accessory
ECA1761	g17225	OG0015255	core
ECA1761	g17226	OG0015254	core
ECA1761	g17227	OG0015253	core
ECA1761	g17228	OG0016597	accessory
ECA1761	g17229	OG0015252	core
ECA1761	g17230	OG0003644	core
ECA1761	g17231	OG0017621	accessory
ECA1761	g17232	OG0015251	core
ECA1761	g17233	OG0002354	core
ECA1761	g17234	OG0003047	core
ECA1761	g17235	OG0021419	accessory
ECA1761	g17236	OG0025524	accessory
ECA1761	g17237	OG0000945	core
ECA1761	g17238	OG0015250	core
ECA1761	g17239	OG0015249	core
ECA1761	g17240	OG0015248	core
ECA1761	g17241	OG0015247	core
ECA1761	g17242	OG0003378	core
ECA1761	g17243	OG0015246	core
ECA1761	g17244	OG0015245	core
ECA1761	g17245	OG0003916	core
ECA1761	g17246	OG0003046	core
ECA1761	g17247	OG0001739	core
ECA1761	g17248	OG0015244	core
ECA1761	g17249	OG0003411	core
ECA1761	g17250	OG0015243	core
ECA1761	g17251	OG0001111	core
ECA1761	g17252	OG0003571	core
ECA1761	g17253	OG0003987	core
ECA1761	g17254	OG0020685	accessory
ECA1761	g17293	OG0018536	accessory
ECA1761	g17294	OG0003133	core
ECA1761	g17295	OG0018112	accessory
ECA1761	g17296	OG0000385	accessory
ECA1761	g17297	OG0000292	core
ECA1761	g17298	OG0017106	accessory
ECA1761	g17299	OG0024066	accessory
ECA1761	g17300	OG0015234	core
ECA1761	g17301	OG0020088	accessory
ECA1761	g17302	OG0015233	core
ECA1761	g17303	OG0024154	accessory
ECA1761	g17304	OG0017461	accessory
ECA1761	g17305	OG0017305	accessory
ECA1761	g17306	OG0019191	accessory
ECA1761	g17307	OG0017163	accessory
ECA1761	g17308	OG0017571	accessory
ECA1761	g17309	OG0024222	accessory
ECA1761	g17310	OG0016678	accessory
ECA1761	g17311	OG0037531	accessory
ECA1761	g17312	OG0023922	accessory
ECA1761	g17313	OG0035008	accessory
ECA1761	g17314	OG0021524	accessory
ECA1761	g17315	OG0021524	accessory
ECA1761	g17316	OG0000848	core
ECA1761	g17317	OG0017162	accessory
ECA1761	g17318	OG0003480	core
ECA1761	g17319	OG0004002	accessory
ECA1761	g17320	OG0003281	core
ECA1761	g17321	OG0001028	core
ECA1761	g17322	OG0015660	accessory
ECA1761	g17323	OG0015661	accessory
ECA1761	g17324	OG0003468	accessory
ECA1761	g17325	OG0023812	accessory
ECA1761	g17326	OG0000679	accessory
ECA1761	g17327	OG0023788	accessory
ECA1761	g17328	OG0023813	accessory
ECA1761	g17329	OG0004036	core
ECA1761	g17330	OG0024038	accessory
ECA1761	g17331	OG0001129	accessory
ECA1761	g17332	OG0015232	core
ECA1761	g17333	OG0023797	accessory
ECA1761	g17334	OG0020089	accessory
ECA1761	g17335	OG0000687	core
ECA1761	g17336	OG0018110	accessory
ECA1761	g17337	OG0001283	core
ECA1761	g17338	OG0017958	accessory
ECA1761	g17339	OG0003517	accessory
ECA1761	g17340	OG0015593	accessory
ECA1761	g17341	OG0000759	core
ECA1761	g17342	OG0024174	accessory
ECA1761	g17343	OG0000704	core
ECA1761	g17344	OG0000801	accessory
ECA1761	g17345	OG0001098	accessory
ECA1761	g17346	OG0023463	accessory
ECA1761	g17347	OG0023463	accessory
ECA1761	g17348	OG0001110	accessory
ECA1761	g17349	OG0000844	core
ECA1761	g17350	OG0003963	core
ECA1761	g17351	OG0015772	accessory
ECA1761	g17352	OG0001738	core
ECA1761	g17353	OG0031838	accessory
ECA1761	g17354	OG0000707	core
ECA1761	g17355	OG0003043	core
ECA1761	g17356	OG0003042	core
ECA1761	g17357	OG0003041	core
ECA1761	g17358	OG0001502	core
ECA1761	g17359	OG0035902	accessory
ECA1761	g17360	OG0001009	core
ECA1761	g17361	OG0003040	core
ECA1761	g17362	OG0000944	core
ECA1761	g17363	OG0000979	core
ECA1761	g17364	OG0017206	accessory
ECA1761	g17365	OG0001008	core
ECA1761	g17366	OG0003039	accessory
ECA1761	g17367	OG0018995	accessory
ECA1761	g17368	OG0028079	accessory
ECA1761	g17369	OG0018603	accessory
ECA1761	g17370	OG0020918	accessory
ECA1761	g17371	OG0020459	accessory
ECA1761	g17372	OG0024790	accessory
ECA1761	g17373	OG0020376	accessory
ECA1761	g17374	OG0000677	core
ECA1761	g17375	OG0003038	core
ECA1761	g17376	OG0001620	core
ECA1761	g17377	OG0003037	core
ECA1761	g17378	OG0001647	core
ECA1761	g17379	OG0003516	accessory
ECA1761	g17380	OG0023829	accessory
ECA1761	g17381	OG0017289	accessory
ECA1761	g17382	OG0024143	accessory
ECA1761	g17383	OG0015231	core
ECA1761	g17384	OG0003207	core
ECA1761	g17385	OG0003036	core
ECA1761	g17386	OG0015691	accessory
ECA1761	g17387	OG0015954	accessory
ECA1761	g17388	OG0015230	core
ECA1761	g17389	OG0029432	accessory
ECA1761	g17390	OG0015229	core
ECA1761	g17391	OG0015228	core
ECA1761	g17392	OG0003418	core
ECA1761	g17393	OG0028346	accessory
ECA1761	g17394	OG0021883	accessory
ECA1761	g17395	OG0015227	core
ECA1761	g17396	OG0015813	accessory
ECA1761	g17397	OG0001798	core
ECA1761	g17398	OG0002352	core
ECA1761	g17399	OG0015226	core
ECA1761	g17400	OG0018847	accessory
ECA1761	g17401	OG0001584	core
ECA1761	g17402	OG0001054	core
ECA1761	g17403	OG0000175	core
ECA1761	g17404	OG0017182	accessory
ECA1761	g17405	OG0003332	core
ECA1761	g17406	OG0029914	accessory
ECA1761	g17407	OG0028957	accessory
ECA1761	g17408	OG0028957	accessory
ECA1761	g17409	OG0052082	private
ECA1761	g17410	OG0028309	accessory
ECA1761	g17411	OG0018849	accessory
ECA1761	g17412	OG0015225	core
ECA1761	g17413	OG0015224	core
ECA1761	g17414	OG0020835	accessory
ECA1761	g17415	OG0001282	core
ECA1761	g17416	OG0023607	accessory
ECA1761	g17417	OG0018650	accessory
ECA1761	g17418	OG0015223	accessory
ECA1761	g17419	OG0003035	core
ECA1761	g17420	OG0015222	core
ECA1761	g17421	OG0000758	core
ECA1761	g17422	OG0030334	accessory
ECA1761	g17423	OG0030336	accessory
ECA1761	g17424	OG0030335	accessory
ECA1761	g17425	OG0030337	accessory
ECA1761	g17426	OG0001501	core
ECA1761	g17427	OG0001715	core
ECA1761	g17428	OG0001797	core
ECA1761	g17429	OG0001064	core
ECA1761	g17430	OG0022114	accessory
ECA1761	g17431	OG0024027	accessory
ECA1761	g17432	OG0021393	accessory
ECA1761	g17433	OG0028268	accessory
ECA1761	g17434	OG0050122	private
ECA1761	g17435	OG0000978	core
ECA1761	g17436	OG0000977	core
ECA1761	g17437	OG0024321	accessory
ECA1761	g17438	OG0003034	core
ECA1761	g17439	OG0003033	core
ECA1761	g17440	OG0015221	core
ECA1761	g17441	OG0015220	core
ECA1761	g17442	OG0003032	core
ECA1761	g17443	OG0015219	core
ECA1761	g17444	OG0001281	core
ECA1761	g17445	OG0029073	accessory
ECA1761	g17446	OG0016651	accessory
ECA1761	g17447	OG0016637	accessory
ECA1761	g17448	OG0022504	accessory
ECA1761	g17449	OG0029957	accessory
ECA1761	g17450	OG0017416	accessory
ECA1761	g17451	OG0001280	core
ECA1761	g17452	OG0017353	accessory
ECA1761	g17453	OG0029825	accessory
ECA1761	g17454	OG0028056	accessory
ECA1761	g17455	OG0032359	accessory
ECA1761	g17456	OG0030256	accessory
ECA1761	g17457	OG0022284	accessory
ECA1761	g17458	OG0019076	accessory
ECA1761	g17459	OG0035231	accessory
ECA1761	g17460	OG0000684	accessory
ECA1761	g17461	OG0030079	accessory
ECA1761	g17462	OG0030120	accessory
ECA1761	g17463	OG0028056	accessory
ECA1761	g17464	OG0049794	private
ECA1761	g17465	OG0032973	accessory
ECA1761	g17466	OG0033745	accessory
ECA1761	g17467	OG0029926	accessory
ECA1761	g17468	OG0029925	accessory
ECA1761	g17469	OG0000176	accessory
ECA1761	g17470	OG0003074	core
ECA1761	g17471	OG0003073	core
ECA1761	g17472	OG0003072	core
ECA1761	g17473	OG0003071	core
ECA1761	g17474	OG0001011	core
ECA1761	g17531	OG0001655	core
ECA1761	g17532	OG0022776	accessory
ECA1761	g17533	OG0022662	accessory
ECA1761	g17534	OG0005232	core
ECA1761	g17535	OG0022532	accessory
ECA1761	g17536	OG0020883	accessory
ECA1761	g17537	OG0022712	accessory
ECA1761	g17538	OG0003164	core
ECA1761	g17539	OG0019068	accessory
ECA1761	g17540	OG0005233	core
ECA1761	g17541	OG0005234	core
ECA1761	g17542	OG0023672	accessory
ECA1761	g17543	OG0032838	accessory
ECA1761	g17568	OG0005243	core
ECA1761	g17569	OG0003628	core
ECA1761	g17570	OG0005244	core
ECA1761	g17571	OG0030623	accessory
ECA1761	g17572	OG0030622	accessory
ECA1761	g17573	OG0005245	core
ECA1761	g17580	OG0018851	accessory
ECA1761	g17581	OG0004019	core
ECA1761	g17582	OG0005246	core
ECA1761	g17583	OG0023872	accessory
ECA1761	g17584	OG0001628	core
ECA1761	g17585	OG0000900	core
ECA1761	g17614	OG0029138	accessory
ECA1761	g17676	OG0025773	accessory
ECA1761	g17677	OG0032254	accessory
ECA1761	g17678	OG0026129	accessory
ECA1761	g17679	OG0005279	core
ECA1761	g17736	OG0020154	accessory
ECA1761	g17737	OG0024811	accessory
ECA1761	g17738	OG0003108	core
ECA1761	g17739	OG0018150	accessory
ECA1761	g17740	OG0016633	accessory
ECA1761	g17805	OG0026329	accessory
ECA1761	g17806	OG0028321	accessory
ECA1761	g17807	OG0005297	core
ECA1761	g17808	OG0005298	core
ECA1761	g17809	OG0005299	core
ECA1761	g17810	OG0003981	core
ECA1761	g17811	OG0005300	core
ECA1761	g17812	OG0022863	accessory
ECA1761	g17813	OG0000226	accessory
ECA1761	g17814	OG0017463	accessory
ECA1761	g17815	OG0017593	accessory
ECA1761	g17816	OG0005301	core
ECA1761	g17817	OG0005302	core
ECA1761	g17818	OG0023203	accessory
ECA1761	g18291	OG0025006	accessory
ECA1761	g18292	OG0025005	accessory
ECA1761	g18293	OG0003652	core
ECA1761	g18294	OG0005387	core
ECA1761	g18453	OG0005459	core
ECA1761	g18454	OG0005460	core
ECA1761	g18463	OG0005464	core
ECA1761	g18464	OG0005465	core
ECA1761	g18465	OG0005466	core
ECA1761	g18466	OG0005467	core
ECA1761	g18477	OG0003111	core
ECA1761	g18478	OG0003109	core
ECA1761	g18479	OG0003112	core
ECA1761	g18480	OG0003110	accessory
ECA1761	g18481	OG0015611	accessory
ECA1761	g18482	OG0005473	core
ECA1761	g18483	OG0005474	core
ECA1761	g18484	OG0016738	accessory
ECA1761	g18488	OG0020828	accessory
ECA1761	g18489	OG0005475	core
ECA1761	g18490	OG0005476	core
ECA1761	g18491	OG0023658	accessory
ECA1761	g18492	OG0005477	core
ECA1761	g18534	OG0005495	core
ECA1761	g18535	OG0022042	accessory
ECA1761	g18536	OG0023351	accessory
ECA1761	g18825	OG0005659	core
ECA1761	g18826	OG0004010	core
ECA1761	g18827	OG0020563	accessory
ECA1761	g18828	OG0026161	accessory
ECA1761	g18829	OG0005660	core
ECA1761	g18830	OG0017704	accessory
ECA1761	g18831	OG0005661	core
ECA1761	g18832	OG0001629	core
ECA1761	g18833	OG0023760	accessory
ECA1761	g18834	OG0026084	accessory
ECA1761	g18835	OG0005662	core
ECA1761	g18836	OG0000304	core
ECA1761	g18837	OG0005663	core
ECA1761	g18838	OG0005664	core
ECA1761	g18839	OG0003635	core
ECA1761	g18840	OG0005665	core
ECA1761	g18948	OG0001167	core
ECA1761	g18949	OG0003664	core
ECA1761	g18950	OG0005729	core
ECA1761	g18951	OG0005730	core
ECA1761	g18952	OG0005731	core
ECA1761	g18986	OG0009615	core
ECA1761	g18987	OG0009616	core
ECA1761	g18988	OG0009617	core
ECA1761	g19126	OG0001010	core
ECA1761	g19127	OG0003065	core
ECA1761	g19128	OG0000560	accessory
ECA1761	g19129	OG0019139	accessory
ECA1761	g19130	OG0003064	core
ECA1761	g19149	OG0001587	core
ECA1761	g19150	OG0003062	core
ECA1761	g19151	OG0015380	core
ECA1761	g19198	OG0016606	accessory
ECA1761	g19279	OG0015317	core
ECA1761	g19280	OG0015316	core
ECA1761	g19280	OG0015316	core
ECA1761	g19281	OG0029276	accessory
ECA1761	g19281	OG0029276	accessory
ECA1761	g19282	OG0015315	core
ECA1761	g19282	OG0015315	core
ECA1761	g19396	OG0002032	core
ECA1761	g19397	OG0008600	core
ECA1761	g19398	OG0008601	core
ECA1761	g19399	OG0008602	core
ECA1761	g19400	OG0008603	core
ECA1761	g19401	OG0016229	accessory
ECA1761	g19423	OG0008621	core
ECA1761	g19424	OG0015750	accessory
ECA1761	g19425	OG0015749	accessory
ECA1761	g19426	OG0008622	core
ECA1761	g19427	OG0008623	core
ECA1761	g19428	OG0008624	core
ECA1761	g19429	OG0008625	core
ECA1761	g19442	OG0008633	core
ECA1761	g19443	OG0008634	core
ECA1761	g19444	OG0008635	core
ECA1761	g19454	OG0000549	accessory
ECA1761	g19455	OG0017464	accessory
ECA1761	g19456	OG0024344	accessory
ECA1761	g19457	OG0024541	accessory
ECA1761	g19458	OG0025436	accessory
ECA1761	g19459	OG0016743	accessory
ECA1761	g19460	OG0017195	accessory
ECA1761	g19461	OG0017336	accessory
ECA1761	g19462	OG0017544	accessory
ECA1761	g19463	OG0020943	accessory
ECA1761	g19464	OG0004045	core
ECA1761	g19465	OG0000063	core
ECA1761	g19466	OG0017351	accessory
ECA1761	g19467	OG0024214	accessory
ECA1761	g19468	OG0017600	accessory
ECA1761	g19469	OG0024153	accessory
ECA1761	g19470	OG0025314	accessory
ECA1761	g19471	OG0025314	accessory
ECA1761	g19472	OG0017910	accessory
ECA1761	g19473	OG0017149	accessory
ECA1761	g19474	OG0000607	accessory
ECA1761	g19475	OG0027825	accessory
ECA1761	g19476	OG0000607	accessory
ECA1761	g19477	OG0026790	accessory
ECA1761	g19478	OG0000360	accessory
ECA1761	g19479	OG0026238	accessory
ECA1761	g19480	OG0000547	core
ECA1761	g19481	OG0017642	accessory
ECA1761	g19482	OG0000480	accessory
ECA1761	g19483	OG0000446	accessory
ECA1761	g19484	OG0027995	accessory
ECA1761	g19485	OG0024290	accessory
ECA1761	g19501	OG0016233	accessory
ECA1761	g19502	OG0000919	core
ECA1761	g19503	OG0001337	core
ECA1761	g19504	OG0008644	core
ECA1761	g19505	OG0008645	core
ECA1761	g19506	OG0017394	accessory
ECA1761	g19507	OG0000363	accessory
ECA1761	g19508	OG0000311	accessory
ECA1761	g19509	OG0017909	accessory
ECA1761	g19510	OG0016234	accessory
ECA1761	g19511	OG0021504	accessory
ECA1761	g19512	OG0016235	accessory
ECA1761	g19520	OG0008649	core
ECA1761	g19521	OG0008650	core
ECA1761	g19522	OG0008651	core
ECA1761	g19523	OG0008652	core
ECA1761	g19524	OG0008653	core
ECA1761	g19525	OG0008654	core
ECA1761	g19526	OG0020249	accessory
ECA1761	g19547	OG0008663	core
ECA1761	g19548	OG0003116	core
ECA1761	g19549	OG0018630	accessory
ECA1761	g19550	OG0008664	core
ECA1761	g19551	OG0008665	core
ECA1761	g19696	OG0010709	core
ECA1761	g19697	OG0010710	core
ECA1761	g19700	OG0010712	core
ECA1761	g19701	OG0025958	accessory
ECA1761	g19702	OG0010713	core
ECA1761	g19703	OG0010714	core
ECA1761	g19704	OG0010715	core
ECA1761	g19705	OG0010716	core
ECA1761	g19895	OG0020361	accessory
ECA1761	g19896	OG0025295	accessory
ECA1761	g19897	OG0026535	accessory
ECA1761	g19898	OG0020603	accessory
ECA1761	g19899	OG0018361	accessory
ECA1761	g19900	OG0020908	accessory
ECA1761	g19901	OG0020908	accessory
ECA1761	g19902	OG0019905	accessory
ECA1761	g19903	OG0019602	accessory
ECA1761	g19904	OG0018585	accessory
ECA1761	g19905	OG0018757	accessory
ECA1761	g19906	OG0018702	accessory
ECA1761	g19907	OG0027633	accessory
ECA1761	g19908	OG0032565	accessory
ECA1761	g19909	OG0032563	accessory
ECA1761	g19910	OG0033539	accessory
ECA1761	g19911	OG0034886	accessory
ECA1761	g19912	OG0033540	accessory
ECA1761	g19913	OG0033682	accessory
ECA1761	g19914	OG0019490	accessory
ECA1761	g19915	OG0035071	accessory
ECA1761	g19916	OG0035072	accessory
ECA1761	g19917	OG0031381	accessory
ECA1761	g19918	OG0035073	accessory
ECA1761	g19919	OG0033538	accessory
ECA1761	g19920	OG0027069	accessory
ECA1761	g19921	OG0025539	accessory
ECA1761	g19922	OG0027682	accessory
ECA1761	g19923	OG0025041	accessory
ECA1761	g19924	OG0034290	accessory
ECA1761	g19925	OG0027680	accessory
ECA1761	g19926	OG0027679	accessory
ECA1761	g19927	OG0000418	core
ECA1761	g19928	OG0007268	core
ECA1761	g19929	OG0007269	core
ECA1761	g19930	OG0007270	core
ECA1761	g19931	OG0007272	core
ECA1761	g19932	OG0007271	core
ECA1761	g19933	OG0007273	core
ECA1761	g19934	OG0007274	core
ECA1761	g19935	OG0022588	accessory
ECA1761	g19936	OG0007275	core
ECA1761	g19937	OG0007276	core
ECA1761	g19938	OG0007277	core
ECA1761	g19939	OG0007278	core
ECA1761	g19940	OG0002560	core
ECA1761	g19941	OG0001320	accessory
ECA1761	g19942	OG0002561	core
ECA1761	g19943	OG0000993	core
ECA1761	g19944	OG0007279	core
ECA1761	g19945	OG0007280	core
ECA1761	g19946	OG0016148	accessory
ECA1761	g19947	OG0027262	accessory
ECA1761	g19948	OG0027567	accessory
ECA1761	g19949	OG0007285	core
ECA1761	g19950	OG0007284	core
ECA1761	g19951	OG0001975	core
ECA1761	g19952	OG0007283	core
ECA1761	g19953	OG0003740	core
ECA1761	g19954	OG0003739	core
ECA1761	g19955	OG0016149	accessory
ECA1761	g19956	OG0007282	core
ECA1761	g19957	OG0007281	core
ECA1761	g19958	OG0026975	accessory
ECA1761	g19959	OG0026571	accessory
ECA1761	g19960	OG0004105	core
ECA1761	g19961	OG0000640	core
ECA1761	g19962	OG0001321	core
ECA1761	g19963	OG0007286	core
ECA1761	g19964	OG0007287	core
ECA1761	g19965	OG0007288	core
ECA1761	g19966	OG0007289	core
ECA1761	g19967	OG0000590	core
ECA1761	g19968	OG0007290	core
ECA1761	g19969	OG0007291	core
ECA1761	g19970	OG0004106	core
ECA1761	g19971	OG0007292	core
ECA1761	g19972	OG0007293	core
ECA1761	g19973	OG0001426	core
ECA1761	g19974	OG0007294	core
ECA1761	g19975	OG0007295	core
ECA1761	g19976	OG0027456	accessory
ECA1761	g19977	OG0002562	core
ECA1761	g19978	OG0028744	accessory
ECA1761	g19979	OG0001427	core
ECA1761	g19980	OG0015555	accessory
ECA1761	g19981	OG0015556	accessory
ECA1761	g19982	OG0023011	accessory
ECA1761	g19983	OG0030156	accessory
ECA1761	g19984	OG0007296	core
ECA1761	g19985	OG0028695	accessory
ECA1761	g19986	OG0019916	accessory
ECA1761	g19987	OG0007297	core
ECA1761	g19988	OG0007298	core
ECA1761	g19989	OG0007299	core
ECA1761	g19990	OG0007300	core
ECA1761	g19991	OG0019167	accessory
ECA1761	g19992	OG0003733	core
ECA1761	g19993	OG0018474	accessory
ECA1761	g19994	OG0000510	core
ECA1761	g19995	OG0025559	accessory
ECA1761	g19996	OG0027132	accessory
ECA1761	g19997	OG0027768	accessory
ECA1761	g19998	OG0021335	accessory
ECA1761	g19999	OG0021335	accessory
