strain	gene	class
ECA1693	g13389	accessory
ECA1693	g13390	core
ECA1693	g13391	core
ECA1693	g13670	accessory
ECA1693	g13671	accessory
ECA1693	g13672	accessory
ECA1693	g13673	accessory
ECA1693	g13674	core
ECA1693	g13675	accessory
ECA1693	g13676	accessory
ECA1693	g13677	core
ECA1693	g13678	core
ECA1693	g13679	core
ECA1693	g13680	accessory
ECA1693	g13681	core
ECA1693	g13682	accessory
ECA1693	g13683	accessory
ECA1693	g13684	accessory
ECA1693	g13685	core
ECA1693	g13686	core
ECA1693	g13687	core
ECA1693	g13688	accessory
ECA1693	g13689	accessory
ECA1693	g13690	accessory
ECA1693	g13691	accessory
ECA1693	g13692	core
ECA1693	g13693	core
ECA1693	g13694	core
ECA1693	g13695	core
ECA1693	g13696	core
ECA1693	g13697	accessory
ECA1693	g13698	accessory
ECA1693	g13699	accessory
ECA1693	g13700	accessory
ECA1693	g13701	accessory
ECA1693	g13702	core
ECA1693	g13703	accessory
ECA1693	g13704	core
ECA1693	g13705	core
ECA1693	g13706	core
ECA1693	g13707	core
ECA1693	g13708	core
ECA1693	g13709	core
ECA1693	g13710	core
ECA1693	g13711	core
ECA1693	g13712	core
ECA1693	g13713	accessory
ECA1693	g13714	accessory
ECA1693	g13715	accessory
ECA1693	g13716	core
ECA1693	g13717	accessory
ECA1693	g13718	core
ECA1693	g13719	core
ECA1693	g13720	accessory
ECA1693	g13721	accessory
ECA1693	g13722	accessory
ECA1693	g13723	accessory
ECA1693	g13724	accessory
ECA1693	g13725	accessory
ECA1693	g13726	core
ECA1693	g13727	accessory
ECA1693	g13728	core
ECA1693	g13729	accessory
ECA1693	g13730	accessory
ECA1693	g13731	accessory
ECA1693	g13732	core
ECA1693	g13733	accessory
ECA1693	g13734	core
ECA1693	g13735	accessory
ECA1693	g13736	accessory
ECA1693	g13737	core
ECA1693	g13738	accessory
ECA1693	g13739	accessory
ECA1693	g13740	accessory
ECA1693	g13741	core
ECA1693	g13742	accessory
ECA1693	g13743	accessory
ECA1693	g13744	accessory
ECA1693	g13745	accessory
ECA1693	g13746	accessory
ECA1693	g13747	accessory
ECA1693	g13748	accessory
ECA1693	g13749	core
ECA1693	g13750	core
ECA1693	g13751	accessory
ECA1693	g13752	core
ECA1693	g13753	accessory
ECA1693	g13754	core
ECA1693	g13755	accessory
ECA1693	g13756	accessory
ECA1693	g13757	accessory
ECA1693	g13758	accessory
ECA1693	g13759	accessory
ECA1693	g13760	accessory
ECA1693	g13761	accessory
ECA1693	g13762	accessory
ECA1693	g13763	accessory
ECA1693	g13764	accessory
ECA1693	g13765	accessory
ECA1693	g13766	accessory
ECA1693	g13767	accessory
ECA1693	g13768	accessory
ECA1693	g13769	core
ECA1693	g13770	accessory
ECA1693	g13771	core
ECA1693	g13772	accessory
ECA1693	g13773	accessory
ECA1693	g13774	core
ECA1693	g13775	core
ECA1693	g13776	accessory
ECA1693	g13777	accessory
ECA1693	g13778	core
ECA1693	g13779	accessory
ECA1693	g13981	core
ECA1693	g13982	core
ECA1693	g13983	core
ECA1693	g13984	accessory
ECA1693	g13985	core
ECA1693	g14114	accessory
ECA1693	g14115	accessory
ECA1693	g14123	core
ECA1693	g14124	core
ECA1693	g14156	accessory
ECA1693	g14157	core
ECA1693	g14158	core
ECA1693	g14159	core
ECA1693	g14160	accessory
ECA1693	g14161	core
ECA1693	g14162	core
ECA1693	g14163	core
ECA1693	g14164	accessory
ECA1693	g14170	core
ECA1693	g14171	core
ECA1693	g14172	core
ECA1693	g14185	core
ECA1693	g14186	core
ECA1693	g14187	core
ECA1693	g14188	core
ECA1693	g14232	core
ECA1693	g14233	accessory
ECA1693	g14234	core
ECA1693	g14251	core
ECA1693	g14252	accessory
ECA1693	g14253	accessory
ECA1693	g14254	accessory
ECA1693	g14294	core
ECA1693	g14308	core
ECA1693	g14309	core
ECA1693	g14310	core
ECA1693	g14311	accessory
ECA1693	g14312	core
ECA1693	g14313	core
ECA1693	g14314	accessory
ECA1693	g14315	core
ECA1693	g14316	accessory
ECA1693	g14317	accessory
ECA1693	g14318	accessory
ECA1693	g14319	accessory
ECA1693	g14320	accessory
ECA1693	g14321	accessory
ECA1693	g14322	accessory
ECA1693	g14323	accessory
ECA1693	g14324	accessory
ECA1693	g14325	accessory
ECA1693	g14326	accessory
ECA1693	g14327	accessory
ECA1693	g14330	core
ECA1693	g14331	core
ECA1693	g14332	core
ECA1693	g14342	core
ECA1693	g14343	accessory
ECA1693	g14344	accessory
ECA1693	g14345	core
ECA1693	g14350	accessory
ECA1693	g14351	core
ECA1693	g14352	accessory
ECA1693	g14353	accessory
ECA1693	g14354	accessory
ECA1693	g14355	accessory
ECA1693	g14356	accessory
ECA1693	g14357	accessory
ECA1693	g14380	core
ECA1693	g14417	accessory
ECA1693	g14418	core
ECA1693	g14419	core
ECA1693	g14526	core
ECA1693	g14537	core
ECA1693	g14538	accessory
ECA1693	g14539	accessory
ECA1693	g14540	core
ECA1693	g14541	core
ECA1693	g14542	core
ECA1693	g14543	core
ECA1693	g14556	core
ECA1693	g14568	accessory
ECA1693	g14569	accessory
ECA1693	g14570	accessory
ECA1693	g14571	accessory
ECA1693	g14572	accessory
ECA1693	g14573	accessory
ECA1693	g14574	accessory
ECA1693	g14575	accessory
ECA1693	g14576	accessory
ECA1693	g14577	accessory
ECA1693	g14578	core
ECA1693	g14579	core
ECA1693	g14580	accessory
ECA1693	g14581	accessory
ECA1693	g14582	accessory
ECA1693	g14583	accessory
ECA1693	g14584	accessory
ECA1693	g14585	accessory
ECA1693	g14586	accessory
ECA1693	g14587	accessory
ECA1693	g14588	accessory
ECA1693	g14589	accessory
ECA1693	g14590	accessory
ECA1693	g14591	accessory
ECA1693	g14592	core
ECA1693	g14593	accessory
ECA1693	g14594	accessory
ECA1693	g14595	accessory
ECA1693	g14596	accessory
ECA1693	g14597	accessory
ECA1693	g14598	accessory
ECA1693	g14615	accessory
ECA1693	g14616	core
ECA1693	g14617	core
ECA1693	g14618	core
ECA1693	g14619	core
ECA1693	g14620	accessory
ECA1693	g14621	accessory
ECA1693	g14622	accessory
ECA1693	g14623	accessory
ECA1693	g14624	accessory
ECA1693	g14625	accessory
ECA1693	g14632	core
ECA1693	g14633	core
ECA1693	g14634	core
ECA1693	g14635	core
ECA1693	g14636	accessory
ECA1693	g14637	accessory
ECA1693	g14638	core
ECA1693	g14639	core
ECA1693	g14640	core
ECA1693	g14641	accessory
ECA1693	g14662	core
ECA1693	g14663	core
ECA1693	g14664	accessory
ECA1693	g14665	accessory
ECA1693	g14666	core
ECA1693	g14667	core
ECA1693	g14700	accessory
ECA1693	g14972	core
ECA1693	g14973	core
ECA1693	g14974	accessory
ECA1693	g14975	accessory
ECA1693	g14976	accessory
ECA1693	g14977	core
ECA1693	g14978	accessory
ECA1693	g14979	accessory
ECA1693	g14980	accessory
ECA1693	g14981	accessory
ECA1693	g14982	private
ECA1693	g14983	accessory
ECA1693	g15045	core
ECA1693	g15046	core
ECA1693	g15098	core
ECA1693	g15099	core
ECA1693	g15100	core
ECA1693	g15101	core
ECA1693	g15102	core
ECA1693	g15103	core
ECA1693	g15120	accessory
ECA1693	g15121	core
ECA1693	g15122	core
ECA1693	g15123	core
ECA1693	g15124	accessory
ECA1693	g15125	core
ECA1693	g15126	core
ECA1693	g15127	accessory
ECA1693	g15128	core
ECA1693	g15129	core
ECA1693	g15130	core
ECA1693	g15131	core
ECA1693	g15132	core
ECA1693	g15211	core
ECA1693	g15212	accessory
ECA1693	g15213	core
ECA1693	g15214	accessory
ECA1693	g15215	core
ECA1693	g15216	core
ECA1693	g15222	core
ECA1693	g15260	core
ECA1693	g15261	core
ECA1693	g15380	core
ECA1693	g15381	core
ECA1693	g15382	core
ECA1693	g15383	core
ECA1693	g15384	core
ECA1693	g15399	core
ECA1693	g15400	core
ECA1693	g15401	core
ECA1693	g15402	core
ECA1693	g15403	core
ECA1693	g16771	core
ECA1693	g16772	core
ECA1693	g16773	core
ECA1693	g16774	core
ECA1693	g16776	core
ECA1693	g16777	core
ECA1693	g16778	accessory
ECA1693	g16779	accessory
ECA1693	g16780	core
ECA1693	g16959	accessory
ECA1693	g17068	accessory
ECA1693	g17069	private
ECA1693	g17070	core
ECA1693	g17071	core
ECA1693	g17072	core
ECA1693	g17073	core
ECA1693	g17074	accessory
ECA1693	g17075	core
ECA1693	g17275	core
ECA1693	g17764	accessory
ECA1693	g17765	accessory
ECA1693	g17766	core
ECA1693	g17767	core
ECA1693	g17843	core
ECA1693	g17844	accessory
ECA1693	g17845	accessory
ECA1693	g17846	accessory
ECA1693	g17847	accessory
ECA1693	g17873	core
ECA1693	g17874	accessory
ECA1693	g17875	accessory
ECA1693	g17876	accessory
ECA1693	g17877	core
ECA1693	g17880	accessory
ECA1693	g17881	core
ECA1693	g17882	core
ECA1693	g17883	core
ECA1693	g18012	accessory
ECA1693	g18013	accessory
ECA1693	g18014	core
ECA1693	g18015	core
ECA1693	g18016	core
ECA1693	g18017	core
ECA1693	g18018	core
ECA1693	g18019	core
ECA1693	g18020	core
ECA1693	g18021	accessory
ECA1693	g18022	core
ECA1693	g18023	accessory
ECA1693	g18024	core
ECA1693	g18037	core
ECA1693	g18093	accessory
ECA1693	g18094	core
ECA1693	g18096	accessory
ECA1693	g18097	accessory
ECA1693	g18098	accessory
ECA1693	g18099	core
ECA1693	g18100	core
ECA1693	g18108	core
ECA1693	g18109	core
ECA1693	g18156	core
ECA1693	g18171	core
ECA1693	g18172	accessory
ECA1693	g18173	core
ECA1693	g18174	core
ECA1693	g18192	accessory
ECA1693	g18193	accessory
ECA1693	g18194	accessory
ECA1693	g18195	accessory
ECA1693	g20044	core
ECA1693	g20045	accessory
ECA1693	g20046	accessory
ECA1693	g20095	accessory
ECA1693	g20096	accessory
ECA1693	g20097	accessory
ECA1693	g20098	accessory
ECA1693	g20099	accessory
ECA1693	g20100	accessory
ECA1693	g20101	accessory
ECA1693	g20102	accessory
ECA1693	g20103	accessory
ECA1693	g20104	accessory
ECA1693	g20105	accessory
ECA1693	g20106	accessory
ECA1693	g20107	accessory
ECA1693	g20108	accessory
ECA1693	g20167	core
ECA1693	g20168	core
ECA1693	g20169	accessory
ECA1693	g20170	accessory
ECA1693	g20171	accessory
ECA1693	g20172	accessory
ECA1693	g20210	accessory
ECA1693	g20211	accessory
ECA1693	g20212	accessory
ECA1693	g20213	core
ECA1693	g20319	accessory
ECA1693	g20320	accessory
ECA1693	g20321	core
ECA1693	g20526	core
ECA1693	g20527	accessory
ECA1693	g20528	accessory
ECA1693	g20529	accessory
ECA1693	g20530	accessory
ECA1693	g20531	core
ECA1693	g20532	accessory
ECA1693	g20533	accessory
ECA1693	g20534	accessory
ECA1693	g20535	accessory
ECA1693	g20536	accessory
ECA1693	g20537	accessory
ECA1693	g20538	accessory
ECA1693	g20539	accessory
ECA1693	g20540	accessory
ECA1693	g20541	accessory
ECA1693	g20542	core
ECA1693	g20543	accessory
ECA1693	g20601	accessory
ECA1693	g20602	accessory
ECA1693	g20603	accessory
ECA1693	g20604	accessory
ECA1693	g20605	accessory
ECA1693	g20606	accessory
ECA1693	g20607	accessory
ECA1693	g20608	accessory
ECA1693	g20751	accessory
ECA1693	g20752	accessory
ECA1693	g20753	accessory
ECA1693	g20754	accessory
ECA1693	g20755	core
ECA1693	g20756	accessory
ECA1693	g20757	core
ECA1693	g20891	core
ECA1693	g20892	core
ECA1693	g20893	core
ECA1693	g20894	core
ECA1693	g20895	core
ECA1693	g21322	core
ECA1693	g21456	core
ECA1693	g21457	core
ECA1693	g21458	accessory
ECA1693	g21459	accessory
ECA1693	g21460	core
ECA1693	g21479	core
ECA1693	g21480	core
ECA1693	g21481	core
ECA1693	g21528	core
ECA1693	g21628	core
ECA1693	g21629	core
ECA1693	g21809	accessory
ECA1693	g21810	accessory
ECA1693	g21811	accessory
ECA1693	g21812	accessory
ECA1693	g21813	accessory
ECA1693	g21814	core
ECA1693	g21819	accessory
ECA1693	g21832	core
ECA1693	g21833	accessory
ECA1693	g21853	accessory
ECA1693	g21854	accessory
ECA1693	g21855	accessory
ECA1693	g21856	accessory
ECA1693	g21857	accessory
ECA1693	g21858	accessory
ECA1693	g21859	accessory
ECA1693	g21860	accessory
ECA1693	g21861	accessory
ECA1693	g21862	accessory
ECA1693	g21863	accessory
ECA1693	g21864	accessory
ECA1693	g21865	core
ECA1693	g21866	core
ECA1693	g21867	accessory
ECA1693	g21868	accessory
ECA1693	g21869	accessory
ECA1693	g21896	accessory
ECA1693	g21897	accessory
ECA1693	g21898	accessory
ECA1693	g21899	accessory
ECA1693	g21900	accessory
ECA1693	g21906	accessory
ECA1693	g21907	accessory
ECA1693	g21908	accessory
ECA1693	g21909	accessory
ECA1693	g21910	accessory
ECA1693	g21911	accessory
ECA1693	g21912	accessory
ECA1693	g21913	accessory
ECA1693	g21914	accessory
ECA1693	g21915	accessory
ECA1693	g21916	accessory
ECA1693	g21917	accessory
ECA1693	g21918	accessory
ECA1693	g21919	accessory
ECA1693	g21920	accessory
ECA1693	g21921	accessory
ECA1693	g21922	private
ECA1693	g21923	accessory
ECA1693	g21924	accessory
ECA1693	g21925	accessory
ECA1693	g21926	accessory
ECA1693	g21927	accessory
ECA1693	g21928	accessory
ECA1693	g21929	accessory
ECA1693	g21930	accessory
ECA1693	g21931	accessory
ECA1693	g21932	accessory
ECA1693	g21933	accessory
ECA1693	g21934	accessory
ECA1693	g21935	accessory
ECA1693	g21936	accessory
ECA1693	g21937	accessory
ECA1693	g21938	accessory
ECA1693	g21939	accessory
ECA1693	g21940	accessory
ECA1693	g21941	accessory
ECA1693	g21942	accessory
ECA1693	g21943	accessory
ECA1693	g21944	accessory
ECA1693	g21945	accessory
ECA1693	g21946	accessory
ECA1693	g21947	accessory
ECA1693	g21948	accessory
ECA1693	g21949	accessory
ECA1693	g21950	accessory
ECA1693	g21951	accessory
ECA1693	g21952	accessory
ECA1693	g21953	accessory
ECA1693	g21954	accessory
ECA1693	g21955	accessory
ECA1693	g21956	accessory
ECA1693	g21957	accessory
ECA1693	g21958	accessory
ECA1693	g21959	accessory
ECA1693	g21960	accessory
ECA1693	g21961	accessory
ECA1693	g21962	accessory
ECA1693	g21963	accessory
ECA1693	g21964	accessory
ECA1693	g21965	accessory
ECA1693	g21966	accessory
ECA1693	g21967	accessory
ECA1693	g21968	accessory
ECA1693	g21969	accessory
ECA1693	g21969	accessory
ECA1693	g21970	accessory
ECA1693	g21970	accessory
ECA1693	g21971	accessory
ECA1693	g21971	accessory
ECA1693	g21972	accessory
ECA1693	g21972	accessory
ECA1693	g21973	accessory
ECA1693	g21973	accessory
ECA1693	g21974	accessory
ECA1693	g21974	accessory
ECA1693	g21975	accessory
ECA1693	g21975	accessory
ECA1693	g21976	accessory
ECA1693	g21976	accessory
ECA1693	g21977	accessory
ECA1693	g21977	accessory
ECA1693	g21978	accessory
ECA1693	g21978	accessory
ECA1693	g21979	accessory
ECA1693	g21979	accessory
ECA1693	g21980	accessory
ECA1693	g21980	accessory
ECA1693	g21981	accessory
ECA1693	g21981	accessory
ECA1693	g21982	accessory
ECA1693	g21982	accessory
ECA1693	g21983	accessory
ECA1693	g21983	accessory
ECA1693	g21984	accessory
ECA1693	g21984	accessory
ECA1693	g21985	accessory
ECA1693	g21985	accessory
ECA1693	g21986	accessory
ECA1693	g21986	accessory
ECA1693	g21987	accessory
ECA1693	g21988	accessory
ECA1693	g21989	accessory
ECA1693	g21990	accessory
ECA1693	g21991	accessory
ECA1693	g22008	accessory
ECA1693	g22009	core
ECA1693	g22087	accessory
ECA1693	g22088	accessory
ECA1693	g22089	accessory
ECA1693	g22090	accessory
ECA1693	g22091	accessory
ECA1693	g22162	accessory
ECA1693	g22163	accessory
ECA1693	g22183	accessory
ECA1693	g22184	accessory
ECA1693	g22185	accessory
ECA1693	g22186	accessory
ECA1693	g22187	accessory
ECA1693	g22188	accessory
ECA1693	g22189	accessory
ECA1693	g22190	accessory
ECA1693	g22275	accessory
ECA1693	g22276	accessory
ECA1693	g22277	accessory
ECA1693	g22278	accessory
ECA1693	g22279	accessory
ECA1693	g22280	accessory
ECA1693	g22281	accessory
ECA1693	g22282	accessory
ECA1693	g22283	accessory
ECA1693	g22284	accessory
ECA1693	g22285	accessory
ECA1693	g22286	accessory
ECA1693	g22287	accessory
ECA1693	g22288	private
ECA1693	g22289	accessory
ECA1693	g22290	accessory
ECA1693	g22291	accessory
ECA1693	g22292	accessory
ECA1693	g22293	accessory
ECA1693	g22294	core
ECA1693	g22295	accessory
ECA1693	g22296	accessory
ECA1693	g22297	accessory
ECA1693	g22298	accessory
ECA1693	g22299	accessory
ECA1693	g22300	accessory
ECA1693	g22301	core
ECA1693	g22302	accessory
ECA1693	g22303	accessory
ECA1693	g22304	accessory
ECA1693	g22305	accessory
ECA1693	g22306	accessory
ECA1693	g22307	accessory
ECA1693	g22308	accessory
ECA1693	g22309	accessory
ECA1693	g22310	accessory
ECA1693	g22311	accessory
ECA1693	g22312	accessory
ECA1693	g22313	accessory
ECA1693	g22314	accessory
ECA1693	g22315	accessory
ECA1693	g22316	accessory
ECA1693	g22317	accessory
ECA1693	g22318	accessory
ECA1693	g22319	accessory
ECA1693	g22320	accessory
ECA1693	g22321	accessory
ECA1693	g22322	accessory
ECA1693	g22323	accessory
ECA1693	g22324	accessory
ECA1693	g22325	accessory
ECA1693	g22326	accessory
ECA1693	g22327	accessory
ECA1693	g22328	accessory
ECA1693	g22329	accessory
ECA1693	g22330	accessory
ECA1693	g22331	accessory
ECA1693	g22332	accessory
ECA1693	g22333	accessory
ECA1693	g22334	accessory
ECA1693	g22335	accessory
ECA1693	g22336	accessory
ECA1693	g22337	accessory
ECA1693	g22338	accessory
ECA1693	g22339	accessory
ECA1693	g22340	accessory
ECA1693	g22341	accessory
ECA1693	g22342	accessory
ECA1693	g22343	accessory
ECA1693	g22344	accessory
ECA1693	g22345	private
ECA1693	g22346	accessory
ECA1693	g22347	accessory
ECA1693	g22348	accessory
ECA1693	g22349	accessory
ECA1693	g22350	accessory
ECA1693	g22351	accessory
ECA1693	g22352	accessory
ECA1693	g22353	core
ECA1693	g22354	accessory
ECA1693	g22438	accessory
ECA1693	g22439	accessory
ECA1693	g22440	accessory
ECA1693	g22441	accessory
ECA1693	g22442	core
ECA1693	g22443	private
ECA1693	g22444	accessory
ECA1693	g22445	core
ECA1693	g22446	core
ECA1693	g22447	accessory
ECA1693	g22448	accessory
ECA1693	g22449	accessory
ECA1693	g22450	accessory
ECA1693	g22451	accessory
ECA1693	g22452	accessory
ECA1693	g22459	core
ECA1693	g22470	accessory
ECA1693	g22471	private
ECA1693	g22472	accessory
ECA1693	g22473	accessory
ECA1693	g22474	accessory
ECA1693	g22475	accessory
ECA1693	g22476	core
ECA1693	g22479	accessory
ECA1693	g22480	accessory
ECA1693	g22481	accessory
ECA1693	g22482	accessory
ECA1693	g22483	accessory
ECA1693	g22484	accessory
ECA1693	g22485	accessory
ECA1693	g22486	accessory
ECA1693	g22487	accessory
ECA1693	g22488	core
ECA1693	g22489	core
ECA1725	g268	core
ECA1725	g269	accessory
ECA1725	g301	core
ECA1725	g302	core
ECA1725	g303	core
ECA1725	g304	core
ECA1725	g315	core
ECA1725	g367	accessory
ECA1725	g410	core
ECA1725	g411	core
ECA1725	g433	core
ECA1725	g434	accessory
ECA1725	g435	accessory
ECA1725	g440	core
ECA1725	g441	core
ECA1725	g442	core
ECA1725	g446	core
ECA1725	g447	core
ECA1725	g453	core
ECA1725	g454	core
ECA1725	g511	core
ECA1725	g533	core
ECA1725	g534	core
ECA1725	g535	core
ECA1725	g536	core
ECA1725	g754	accessory
ECA1725	g755	core
ECA1725	g757	accessory
ECA1725	g758	accessory
ECA1725	g759	accessory
ECA1725	g760	accessory
ECA1725	g761	accessory
ECA1725	g762	core
ECA1725	g763	core
ECA1725	g771	core
ECA1725	g772	core
ECA1725	g817	core
ECA1725	g820	core
ECA1725	g837	core
ECA1725	g838	accessory
ECA1725	g839	core
ECA1725	g840	core
ECA1725	g857	accessory
ECA1725	g858	accessory
ECA1725	g859	accessory
ECA1725	g860	accessory
ECA1725	g911	core
ECA1725	g912	core
ECA1725	g913	core
ECA1725	g914	core
ECA1725	g915	core
ECA1725	g916	core
ECA1725	g921	core
ECA1725	g922	core
ECA1725	g923	core
ECA1725	g924	core
ECA1725	g940	core
ECA1725	g941	core
ECA1725	g942	core
ECA1725	g993	core
ECA1725	g994	core
ECA1725	g995	core
ECA1725	g1065	core
ECA1725	g1066	core
ECA1725	g1067	core
ECA1725	g1637	core
ECA1725	g1638	core
ECA1725	g1667	core
ECA1725	g1668	core
ECA1725	g1669	core
ECA1725	g1673	accessory
ECA1725	g1674	core
ECA1725	g1675	core
ECA1725	g1842	core
ECA1725	g1843	core
ECA1725	g1844	core
ECA1725	g2009	core
ECA1725	g2010	core
ECA1725	g2016	core
ECA1725	g2017	core
ECA1725	g2071	core
ECA1725	g2072	core
ECA1725	g2365	accessory
ECA1725	g2366	accessory
ECA1725	g2367	accessory
ECA1725	g2368	accessory
ECA1725	g2369	accessory
ECA1725	g2417	core
ECA1725	g2418	core
ECA1725	g2419	accessory
ECA1725	g2420	core
ECA1725	g2421	core
ECA1725	g2424	core
ECA1725	g2425	core
ECA1725	g2465	core
ECA1725	g2466	core
ECA1725	g2538	core
ECA1725	g2539	core
ECA1725	g2553	core
ECA1725	g2605	accessory
ECA1725	g2632	core
ECA1725	g2645	core
ECA1725	g2646	accessory
ECA1725	g2647	core
ECA1725	g2670	core
ECA1725	g2673	core
ECA1725	g2683	accessory
ECA1725	g2684	accessory
ECA1725	g2685	accessory
ECA1725	g2686	core
ECA1725	g2687	core
ECA1725	g2688	core
ECA1725	g2689	accessory
ECA1725	g2690	core
ECA1725	g2691	core
ECA1725	g2695	core
ECA1725	g2696	core
ECA1725	g2697	core
ECA1725	g2698	core
ECA1725	g2699	accessory
ECA1725	g2700	accessory
ECA1725	g2722	core
ECA1725	g2723	core
ECA1725	g2724	accessory
ECA1725	g2768	core
ECA1725	g2769	core
ECA1725	g2770	accessory
ECA1725	g2771	core
ECA1725	g2783	core
ECA1725	g2784	core
ECA1725	g2787	core
ECA1725	g2788	accessory
ECA1725	g2789	accessory
ECA1725	g2840	accessory
ECA1725	g2841	core
ECA1725	g2842	core
ECA1725	g3164	core
ECA1725	g3165	core
ECA1725	g3166	core
ECA1725	g3167	core
ECA1725	g3168	core
ECA1725	g3169	core
ECA1725	g3170	accessory
ECA1725	g3171	core
ECA1725	g3172	core
ECA1725	g3173	core
ECA1725	g3218	core
ECA1725	g3219	core
ECA1725	g3220	core
ECA1725	g3221	core
ECA1725	g3222	core
ECA1725	g3223	accessory
ECA1725	g3224	core
ECA1725	g3225	core
ECA1725	g3226	core
ECA1725	g3227	core
ECA1725	g3228	core
ECA1725	g3229	core
ECA1725	g3883	accessory
ECA1725	g3884	accessory
ECA1725	g3885	accessory
ECA1725	g3886	accessory
ECA1725	g3887	accessory
ECA1725	g3888	accessory
ECA1725	g3889	accessory
ECA1725	g3890	accessory
ECA1725	g3891	accessory
ECA1725	g3892	accessory
ECA1725	g3893	accessory
ECA1725	g3894	accessory
ECA1725	g3895	accessory
ECA1725	g3896	accessory
ECA1725	g3897	accessory
ECA1725	g3898	accessory
ECA1725	g3899	accessory
ECA1725	g3900	accessory
ECA1725	g3901	accessory
ECA1725	g3902	accessory
ECA1725	g3903	accessory
ECA1725	g3904	accessory
ECA1725	g3905	accessory
ECA1725	g3906	accessory
ECA1725	g3907	accessory
ECA1725	g3908	accessory
ECA1725	g3909	accessory
ECA1725	g3910	accessory
ECA1725	g3911	accessory
ECA1725	g3912	accessory
ECA1725	g3913	accessory
ECA1725	g3914	accessory
ECA1725	g3915	accessory
ECA1725	g3916	accessory
ECA1725	g3917	accessory
ECA1725	g3918	accessory
ECA1725	g3919	accessory
ECA1725	g3920	accessory
ECA1725	g3921	accessory
ECA1725	g3922	accessory
ECA1725	g3923	accessory
ECA1725	g3924	accessory
ECA1725	g3925	accessory
ECA1725	g3926	accessory
ECA1725	g3927	accessory
ECA1725	g3928	accessory
ECA1725	g3929	accessory
ECA1725	g3930	accessory
ECA1725	g3931	accessory
ECA1725	g3932	accessory
ECA1725	g3933	accessory
ECA1725	g3934	accessory
ECA1725	g3935	accessory
ECA1725	g3936	accessory
ECA1725	g3937	accessory
ECA1725	g3938	accessory
ECA1725	g3939	accessory
ECA1725	g3940	accessory
ECA1725	g3941	accessory
ECA1725	g3942	accessory
ECA1725	g3943	accessory
ECA1725	g3944	accessory
ECA1725	g3945	accessory
ECA1725	g3946	accessory
ECA1725	g3947	accessory
ECA1725	g3948	accessory
ECA1725	g3949	accessory
ECA1725	g3950	accessory
ECA1725	g3951	accessory
ECA1725	g3952	accessory
ECA1725	g3953	accessory
ECA1725	g3954	accessory
ECA1725	g3955	accessory
ECA1725	g3956	accessory
ECA1725	g3957	accessory
ECA1725	g3958	accessory
ECA1725	g3959	accessory
ECA1725	g3960	accessory
ECA1725	g3961	accessory
ECA1725	g3962	core
ECA1725	g3963	core
ECA1725	g3964	core
ECA1725	g3965	core
ECA1725	g3966	accessory
ECA1725	g3967	accessory
ECA1725	g3968	accessory
ECA1725	g3969	accessory
ECA1725	g3970	accessory
ECA1725	g3971	accessory
ECA1725	g3972	accessory
ECA1725	g3973	accessory
ECA1725	g3974	accessory
ECA1725	g3975	accessory
ECA1725	g3976	accessory
ECA1725	g3977	accessory
ECA1725	g3978	core
ECA1725	g3979	core
ECA1725	g3980	accessory
ECA1725	g3981	accessory
ECA1725	g3982	accessory
ECA1725	g3983	accessory
ECA1725	g3984	accessory
ECA1725	g3985	accessory
ECA1725	g3986	accessory
ECA1725	g3987	core
ECA1725	g3988	core
ECA1725	g3989	accessory
ECA1725	g3990	accessory
ECA1725	g3991	accessory
ECA1725	g3992	accessory
ECA1725	g3993	core
ECA1725	g3994	accessory
ECA1725	g3995	accessory
ECA1725	g3996	core
ECA1725	g3997	accessory
ECA1725	g3998	accessory
ECA1725	g3999	accessory
ECA1725	g4000	accessory
ECA1725	g4001	core
ECA1725	g4002	accessory
ECA1725	g4003	accessory
ECA1725	g4015	core
ECA1725	g4016	accessory
ECA1725	g4017	core
ECA1725	g4018	core
ECA1725	g4019	core
ECA1725	g4020	core
ECA1725	g4021	core
ECA1725	g4022	core
ECA1725	g4023	core
ECA1725	g4024	core
ECA1725	g4025	core
ECA1725	g4026	accessory
ECA1725	g4027	accessory
ECA1725	g4028	accessory
ECA1725	g4029	accessory
ECA1725	g4030	core
ECA1725	g4031	core
ECA1725	g4032	accessory
ECA1725	g4033	accessory
ECA1725	g4034	accessory
ECA1725	g4035	accessory
ECA1725	g4036	accessory
ECA1725	g4037	accessory
ECA1725	g4038	accessory
ECA1725	g4039	core
ECA1725	g4040	core
ECA1725	g4041	core
ECA1725	g4042	core
ECA1725	g4043	accessory
ECA1725	g4044	accessory
ECA1725	g4045	accessory
ECA1725	g4046	accessory
ECA1725	g4047	accessory
ECA1725	g4048	accessory
ECA1725	g4049	accessory
ECA1725	g4050	accessory
ECA1725	g4051	accessory
ECA1725	g4052	core
ECA1725	g4059	accessory
ECA1725	g4060	accessory
ECA1725	g4061	accessory
ECA1725	g4062	accessory
ECA1725	g4063	accessory
ECA1725	g4064	accessory
ECA1725	g4065	core
ECA1725	g4066	accessory
ECA1725	g4067	accessory
ECA1725	g4068	accessory
ECA1725	g4069	accessory
ECA1725	g4070	accessory
ECA1725	g4071	accessory
ECA1725	g4072	accessory
ECA1725	g4073	core
ECA1725	g4074	accessory
ECA1725	g4075	accessory
ECA1725	g4076	accessory
ECA1725	g4077	accessory
ECA1725	g4078	accessory
ECA1725	g4079	accessory
